time,signal ch.38
1.077740374,-0.00032115
1.078068055,-0.00031795
1.078395735,-0.0003143
1.078723415,-0.00031222
1.079051095,-0.00031208
1.079378776,-0.00031191
1.079706456,-0.00031137
1.080034136,-0.000311
1.080361816,-0.00031065
1.080689497,-0.00030973
1.081017177,-0.00030843
1.081344857,-0.00030584
1.081672537,-0.00030251
1.082000218,-0.00029735
1.082327898,-0.00029048
1.082655578,-0.0002786
1.082983259,-0.00026573
1.083310939,-0.00025463
1.083638619,-0.00024663
1.083966299,-0.00024215
1.08429398,-0.00023973
1.08462166,-0.00024052
1.08494934,-0.00024267
1.08527702,-0.00024223
1.085604701,-0.00023913
1.085932381,-0.00023786
1.086260061,-0.00024455
1.086587741,-0.0002538
1.086915422,-0.0002634
1.087243102,-0.00027194
1.087570782,-0.00027947
1.087898462,-0.00028393
1.088226143,-0.00028543
1.088553823,-0.00028718
1.088881503,-0.0002881
1.089209183,-0.0002893
1.089536864,-0.00029178
1.089864544,-0.00029324
1.090192224,-0.00029492
1.090519905,-0.00029999
1.090847585,-0.00030455
1.091175265,-0.00030471
1.091502945,-0.00030412
1.091830626,-0.00030261
1.092158306,-0.0003001
1.092485986,-0.00029986
1.092813666,-0.00030167
1.093141347,-0.0003024
1.093469027,-0.0003018
1.093796707,-0.00030138
1.094124387,-0.00030305
1.094452068,-0.00030534
1.094779748,-0.000307
1.095107428,-0.00030916
1.095435108,-0.00031162
1.095762789,-0.00031167
1.096090469,-0.00031156
1.096418149,-0.00031331
1.096745829,-0.00031666
1.09707351,-0.00032111
1.09740119,-0.00032396
1.09772887,-0.00032516
1.09805655,-0.00032653
1.098384231,-0.00032809
1.098711911,-0.00031983
1.099039591,-0.00029358
1.099367272,-0.00025871
1.099694952,-0.00022646
1.100022632,-0.00020624
1.100350312,-0.0001961
1.100677993,-0.00019356
1.101005673,-0.00019728
1.101333353,-0.00020527
1.101661033,-0.00021241
1.101988714,-0.00021591
1.102316394,-0.00021779
1.102644074,-0.00021921
1.102971754,-0.00022851
1.103299435,-0.00024627
1.103627115,-0.00026623
1.103954795,-0.00028487
1.104282475,-0.00030046
1.104610156,-0.0003117
1.104937836,-0.00031723
1.105265516,-0.00031741
1.105593196,-0.00031333
1.105920877,-0.0003061
1.106248557,-0.00030192
1.106576237,-0.00030116
1.106903917,-0.00030192
1.107231598,-0.00030372
1.107559278,-0.00030601
1.107886958,-0.00030804
1.108214639,-0.0003077
1.108542319,-0.00030652
1.108869999,-0.00030573
